origin_country,citizenship,year,count
Argentina,Italy,2020,197
Argentina,Italy,2021,469
Argentina,Italy,2022,596
Argentina,Italy,2023,354
Argentina,Italy,2024,365
Argentina,Italy,2025,289
Argentina,Portugal,2020,2
Argentina,Portugal,2021,4
Argentina,Portugal,2022,4
Argentina,Portugal,2023,3
Argentina,Portugal,2024,10
Argentina,Portugal,2025,3
Nepal,Italy,2024,1
Nepal,Italy,2025,1
Nepal,Portugal,2020,3
Nepal,Portugal,2021,7
Nepal,Portugal,2022,8
Nepal,Portugal,2023,18
Nepal,Portugal,2024,17
Nepal,Portugal,2025,14
