kommune,citizenship,year,count
Aabenraa,Belgium,2020,3
Aabenraa,Brazil,2020,3
Aabenraa,Bulgaria,2020,8
Aabenraa,China,2020,9
Aabenraa,Croatia,2020,2
Aabenraa,Czech Republic,2020,1
Aabenraa,Denmark,2020,158
Aabenraa,Finland,2020,1
Aabenraa,Germany,2020,115
Aabenraa,Greece,2020,1
Aabenraa,Hungary,2020,4
Aabenraa,Iceland,2020,10
Aabenraa,India,2020,1
Aabenraa,Ireland,2020,3
Aabenraa,Italy,2020,6
Aabenraa,Japan,2020,11
Aabenraa,Kosovo,2020,1
Aabenraa,Latvia,2020,4
Aabenraa,Lithuania,2020,2
Aabenraa,Mexico,2020,1
Aabenraa,Netherlands,2020,3
Aabenraa,New Zealand,2020,1
Aabenraa,Nigeria,2020,1
Aabenraa,Norway,2020,5
Aabenraa,Philippines,2020,1
Aabenraa,Poland,2020,16
Aabenraa,Portugal,2020,1
Aabenraa,Republic of North Macedonia,2020,3
Aabenraa,Romania,2020,65
Aabenraa,Russia,2020,1
Aabenraa,Serbia,2020,3
Aabenraa,South Africa,2020,1
Aabenraa,Spain,2020,7
Aabenraa,Sri Lanka,2020,1
Aabenraa,Stateless,2020,1
Aabenraa,Sweden,2020,7
Aabenraa,Syria,2020,12
Aabenraa,Thailand,2020,2
Aabenraa,Turkey,2020,1
Aabenraa,USA,2020,1
Aabenraa,Ukraine,2020,13
Aabenraa,United Kingdom,2020,1
Aabenraa,Vietnam,2020,2
Aalborg,Afghanistan,2020,1
Aalborg,Africa not stated,2020,1
Aalborg,Albania,2020,1
Aalborg,Algeria,2020,4
Aalborg,Argentina,2020,17
Aalborg,Australia,2020,1
Aalborg,Austria,2020,5
Aalborg,Bangladesh,2020,10
Aalborg,Belarus,2020,1
Aalborg,Belgium,2020,8
Aalborg,Bosnia and Herzegovina,2020,2
Aalborg,Brazil,2020,7
Aalborg,Bulgaria,2020,74
Aalborg,Cameroon,2020,1
Aalborg,Canada,2020,14
Aalborg,Chile,2020,12
Aalborg,China,2020,151
Aalborg,Colombia,2020,5
Aalborg,Croatia,2020,26
Aalborg,Czech Republic,2020,39
Aalborg,Denmark,2020,603
Aalborg,Egypt,2020,5
Aalborg,Eritrea,2020,4
Aalborg,Estonia,2020,9
Aalborg,Ethiopia,2020,2
Aalborg,Finland,2020,17
Aalborg,France,2020,34
Aalborg,Georgia,2020,2
Aalborg,Germany,2020,80
Aalborg,Ghana,2020,6
Aalborg,Greece,2020,13
Aalborg,Hungary,2020,47
Aalborg,Iceland,2020,30
Aalborg,India,2020,59
Aalborg,Indonesia,2020,3
Aalborg,Iran,2020,35
Aalborg,Iraq,2020,7
Aalborg,Ireland,2020,1
Aalborg,Israel,2020,6
Aalborg,Italy,2020,38
Aalborg,Japan,2020,17
Aalborg,Jordan,2020,1
Aalborg,Kazakhstan,2020,2
Aalborg,Kenya,2020,1
Aalborg,Latvia,2020,26
Aalborg,Lebanon,2020,4
Aalborg,Lithuania,2020,71
Aalborg,Malaysia,2020,1
Aalborg,Malta,2020,1
Aalborg,Mexico,2020,3
Aalborg,Moldova,2020,1
Aalborg,Morocco,2020,2
