kommune,citizenship,year,count
Aabenraa,Afghanistan,2020,1
Aabenraa,Albania,2020,1
Aabenraa,Australia,2020,1
Aabenraa,Austria,2020,1
Aabenraa,Belgium,2020,2
Aabenraa,Bosnia and Herzegovina,2020,1
Aabenraa,Brazil,2020,11
Aabenraa,Bulgaria,2020,5
Aabenraa,Canada,2020,1
Aabenraa,Chile,2020,1
Aabenraa,China,2020,4
Aabenraa,Colombia,2020,1
Aabenraa,Croatia,2020,5
Aabenraa,Czech Republic,2020,1
Aabenraa,Denmark,2020,247
Aabenraa,France,2020,2
Aabenraa,"Gambia, The",2020,2
Aabenraa,Germany,2020,243
Aabenraa,Hungary,2020,11
Aabenraa,Iceland,2020,2
Aabenraa,India,2020,2
Aabenraa,Iraq,2020,1
Aabenraa,Ireland,2020,4
Aabenraa,Italy,2020,4
Aabenraa,Jamaica,2020,1
Aabenraa,Japan,2020,1
Aabenraa,Kenya,2020,1
Aabenraa,Latvia,2020,11
Aabenraa,Lebanon,2020,1
Aabenraa,Lithuania,2020,11
Aabenraa,Netherlands,2020,5
Aabenraa,Norway,2020,3
Aabenraa,Not stated,2020,3
Aabenraa,Philippines,2020,1
Aabenraa,Poland,2020,16
Aabenraa,Portugal,2020,1
Aabenraa,Republic of North Macedonia,2020,1
Aabenraa,Romania,2020,76
Aabenraa,Russia,2020,1
Aabenraa,South Africa,2020,1
Aabenraa,Spain,2020,10
Aabenraa,Sri Lanka,2020,1
Aabenraa,Sweden,2020,3
Aabenraa,Syria,2020,10
Aabenraa,Thailand,2020,6
Aabenraa,Turkey,2020,1
Aabenraa,Ukraine,2020,26
Aabenraa,United Kingdom,2020,4
Aabenraa,Vietnam,2020,6
Aalborg,Afghanistan,2020,7
Aalborg,Albania,2020,3
Aalborg,Algeria,2020,2
Aalborg,Argentina,2020,32
Aalborg,Armenia,2020,1
Aalborg,Australia,2020,4
Aalborg,Austria,2020,5
Aalborg,Bangladesh,2020,21
Aalborg,Belarus,2020,2
Aalborg,Belgium,2020,7
Aalborg,Bhutan,2020,1
Aalborg,Bosnia and Herzegovina,2020,1
Aalborg,Brazil,2020,14
Aalborg,Bulgaria,2020,59
Aalborg,Burundi,2020,1
Aalborg,Cameroon,2020,1
Aalborg,Canada,2020,13
Aalborg,Chile,2020,3
Aalborg,China,2020,116
Aalborg,Colombia,2020,3
Aalborg,Croatia,2020,31
Aalborg,Cuba,2020,1
Aalborg,Cyprus,2020,1
Aalborg,Czech Republic,2020,36
Aalborg,Denmark,2020,865
Aalborg,Dominican Republic,2020,1
Aalborg,Ecuador,2020,1
Aalborg,Egypt,2020,7
Aalborg,Eritrea,2020,7
Aalborg,Estonia,2020,19
Aalborg,Finland,2020,10
Aalborg,France,2020,45
Aalborg,Georgia,2020,2
Aalborg,Germany,2020,99
Aalborg,Ghana,2020,10
Aalborg,Greece,2020,17
Aalborg,Haiti,2020,1
Aalborg,Hungary,2020,50
Aalborg,Iceland,2020,20
Aalborg,India,2020,60
Aalborg,Indonesia,2020,6
Aalborg,Iran,2020,78
Aalborg,Iraq,2020,9
Aalborg,Ireland,2020,4
Aalborg,Israel,2020,1
Aalborg,Italy,2020,74
Aalborg,Ivory Coast,2020,1
Aalborg,Japan,2020,9
Aalborg,Jordan,2020,1
Aalborg,Kenya,2020,2
Aalborg,Latvia,2020,23
Aalborg,Lebanon,2020,5
Aalborg,Lithuania,2020,37
