municipality,citizenship,year,quarter,period,population
Aabenraa,Afghanistan,2020,1,2020Q1,158
Aabenraa,Afghanistan,2020,2,2020Q2,155
Aabenraa,Afghanistan,2020,3,2020Q3,151
Aabenraa,Afghanistan,2020,4,2020Q4,150
Aabenraa,Afghanistan,2021,1,2021Q1,150
Aabenraa,Afghanistan,2021,2,2021Q2,154
Aabenraa,Afghanistan,2021,3,2021Q3,157
Aabenraa,Afghanistan,2021,4,2021Q4,157
Aabenraa,Afghanistan,2022,1,2022Q1,153
Aabenraa,Afghanistan,2022,2,2022Q2,167
Aabenraa,Afghanistan,2022,3,2022Q3,168
Aabenraa,Afghanistan,2022,4,2022Q4,157
Aabenraa,Afghanistan,2023,1,2023Q1,159
Aabenraa,Afghanistan,2023,2,2023Q2,165
Aabenraa,Afghanistan,2023,3,2023Q3,161
Aabenraa,Afghanistan,2023,4,2023Q4,160
Aabenraa,Afghanistan,2024,1,2024Q1,159
Aabenraa,Afghanistan,2024,2,2024Q2,162
Aabenraa,Afghanistan,2024,3,2024Q3,159
Aabenraa,Afghanistan,2024,4,2024Q4,158
Aabenraa,Afghanistan,2025,1,2025Q1,157
Aabenraa,Afghanistan,2025,2,2025Q2,146
Aabenraa,Afghanistan,2025,3,2025Q3,149
Aabenraa,Afghanistan,2025,4,2025Q4,153
Aabenraa,Afghanistan,2026,1,2026Q1,151
Aabenraa,Afghanistan,2026,2,2026Q2,151
Aabenraa,Albania,2020,4,2020Q4,1
Aabenraa,Albania,2021,1,2021Q1,1
Aabenraa,Albania,2021,2,2021Q2,1
Aabenraa,Albania,2021,3,2021Q3,1
Aabenraa,Albania,2021,4,2021Q4,1
Aabenraa,Albania,2022,1,2022Q1,1
Aabenraa,Albania,2022,2,2022Q2,1
Aabenraa,Albania,2022,3,2022Q3,1
Aabenraa,Albania,2023,1,2023Q1,1
Aabenraa,Albania,2023,2,2023Q2,2
Aabenraa,Albania,2023,3,2023Q3,2
Aabenraa,Albania,2023,4,2023Q4,2
Aabenraa,Albania,2024,1,2024Q1,2
Aabenraa,Albania,2024,2,2024Q2,2
Aabenraa,Albania,2024,3,2024Q3,2
Aabenraa,Albania,2024,4,2024Q4,2
Aabenraa,Albania,2025,1,2025Q1,2
Aabenraa,Albania,2025,2,2025Q2,2
Aabenraa,Albania,2025,3,2025Q3,2
Aabenraa,Albania,2025,4,2025Q4,1
Aabenraa,Albania,2026,1,2026Q1,1
