origin_country,citizenship,year,count
Argentina,Afghanistan,2018,1
Argentina,Afghanistan,2019,1
Argentina,Algeria,2012,1
Argentina,Antigua and Barbuda,2016,1
Argentina,Antigua and Barbuda,2017,2
Argentina,Antigua and Barbuda,2019,1
Argentina,Argentina,2007,49
Argentina,Argentina,2008,45
Argentina,Argentina,2009,35
Argentina,Argentina,2010,27
Argentina,Argentina,2011,47
Argentina,Argentina,2012,42
Argentina,Argentina,2013,86
Argentina,Argentina,2014,133
Argentina,Argentina,2015,268
Argentina,Argentina,2016,508
Argentina,Argentina,2017,493
Argentina,Argentina,2018,774
Argentina,Argentina,2019,1788
Argentina,Argentina,2020,1049
Argentina,Argentina,2021,179
Argentina,Argentina,2022,365
Argentina,Argentina,2023,419
Argentina,Argentina,2024,323
Argentina,Argentina,2025,256
Argentina,Armenia,2019,2
Argentina,Austria,2018,1
Argentina,Austria,2020,1
Argentina,Austria,2021,3
Argentina,Austria,2022,2
Argentina,Austria,2024,1
Argentina,Belgium,2012,1
Argentina,Belgium,2019,1
Argentina,Belgium,2021,1
Argentina,Belgium,2023,1
Argentina,Belgium,2024,1
Argentina,Bolivia,2012,1
Argentina,Bolivia,2022,1
Argentina,Brazil,2007,1
Argentina,Brazil,2008,1
Argentina,Brazil,2017,1
Argentina,Brazil,2018,1
Argentina,Brazil,2021,1
Argentina,Brazil,2022,1
Argentina,Brazil,2023,2
Argentina,Brazil,2025,1
Argentina,Canada,2007,1
Argentina,Chile,2017,1
Argentina,Chile,2018,1
Argentina,Chile,2019,2
Argentina,Chile,2021,1
Argentina,Chile,2024,1
Argentina,Colombia,2014,1
Argentina,Colombia,2017,1
Argentina,Colombia,2019,1
Argentina,Colombia,2021,1
Argentina,Colombia,2022,2
Argentina,Colombia,2025,1
Argentina,Croatia,2016,1
Argentina,Croatia,2018,1
Argentina,Croatia,2019,2
Argentina,Croatia,2020,1
Argentina,Croatia,2021,5
Argentina,Croatia,2022,6
Argentina,Croatia,2023,5
Argentina,Croatia,2024,3
Argentina,Croatia,2025,1
Argentina,Cuba,2021,2
Argentina,Czech Republic,2022,1
Argentina,Czech Republic,2024,1
Argentina,Czech Republic,2025,3
