municipality,citizenship_status,year,quarter,period,working_age_population
Aabenraa,Danish citizen,2008,1,2008Q1,35727
Aabenraa,Danish citizen,2008,2,2008Q2,35771
Aabenraa,Danish citizen,2008,3,2008Q3,35835
Aabenraa,Danish citizen,2008,4,2008Q4,35617
Aabenraa,Danish citizen,2009,1,2009Q1,35602
Aabenraa,Danish citizen,2009,2,2009Q2,35462
Aabenraa,Danish citizen,2009,3,2009Q3,35405
Aabenraa,Danish citizen,2009,4,2009Q4,35114
Aabenraa,Danish citizen,2010,1,2010Q1,35108
Aabenraa,Danish citizen,2010,2,2010Q2,35011
Aabenraa,Danish citizen,2010,3,2010Q3,34958
Aabenraa,Danish citizen,2010,4,2010Q4,34628
Aabenraa,Danish citizen,2011,1,2011Q1,34577
Aabenraa,Danish citizen,2011,2,2011Q2,34488
Aabenraa,Danish citizen,2011,3,2011Q3,34451
Aabenraa,Danish citizen,2011,4,2011Q4,34173
Aabenraa,Danish citizen,2012,1,2012Q1,34106
Aabenraa,Danish citizen,2012,2,2012Q2,33962
Aabenraa,Danish citizen,2012,3,2012Q3,33908
Aabenraa,Danish citizen,2012,4,2012Q4,33671
Aabenraa,Danish citizen,2013,1,2013Q1,33583
Aabenraa,Danish citizen,2013,2,2013Q2,33465
Aabenraa,Danish citizen,2013,3,2013Q3,33427
Aabenraa,Danish citizen,2013,4,2013Q4,33138
Aabenraa,Danish citizen,2014,1,2014Q1,33093
Aabenraa,Danish citizen,2014,2,2014Q2,33037
Aabenraa,Danish citizen,2014,3,2014Q3,33042
Aabenraa,Danish citizen,2014,4,2014Q4,32808
Aabenraa,Danish citizen,2015,1,2015Q1,32770
Aabenraa,Danish citizen,2015,2,2015Q2,32712
Aabenraa,Danish citizen,2015,3,2015Q3,32719
Aabenraa,Danish citizen,2015,4,2015Q4,32464
Aabenraa,Danish citizen,2016,1,2016Q1,32434
Aabenraa,Danish citizen,2016,2,2016Q2,32407
Aabenraa,Danish citizen,2016,3,2016Q3,32409
Aabenraa,Danish citizen,2016,4,2016Q4,32136
Aabenraa,Danish citizen,2017,1,2017Q1,32083
Aabenraa,Danish citizen,2017,2,2017Q2,32080
Aabenraa,Danish citizen,2017,3,2017Q3,32094
Aabenraa,Danish citizen,2017,4,2017Q4,31808
Aabenraa,Danish citizen,2018,1,2018Q1,31811
Aabenraa,Danish citizen,2018,2,2018Q2,31685
Aabenraa,Danish citizen,2018,3,2018Q3,31662
Aabenraa,Danish citizen,2018,4,2018Q4,31437
Aabenraa,Danish citizen,2019,1,2019Q1,31368
Aabenraa,Danish citizen,2019,2,2019Q2,31367
Aabenraa,Danish citizen,2019,3,2019Q3,31275
Aabenraa,Danish citizen,2019,4,2019Q4,31030
Aabenraa,Danish citizen,2020,1,2020Q1,30992
Aabenraa,Danish citizen,2020,2,2020Q2,30944
Aabenraa,Danish citizen,2020,3,2020Q3,30945
Aabenraa,Danish citizen,2020,4,2020Q4,30719
Aabenraa,Danish citizen,2021,1,2021Q1,30695
Aabenraa,Danish citizen,2021,2,2021Q2,30615
Aabenraa,Danish citizen,2021,3,2021Q3,30437
Aabenraa,Danish citizen,2021,4,2021Q4,30231
Aabenraa,Danish citizen,2022,1,2022Q1,30179
Aabenraa,Danish citizen,2022,2,2022Q2,30086
Aabenraa,Danish citizen,2022,3,2022Q3,29977
Aabenraa,Danish citizen,2022,4,2022Q4,29752
Aabenraa,Danish citizen,2023,1,2023Q1,29617
Aabenraa,Danish citizen,2023,2,2023Q2,29493
Aabenraa,Danish citizen,2023,3,2023Q3,29362
Aabenraa,Danish citizen,2023,4,2023Q4,29082
Aabenraa,Danish citizen,2024,1,2024Q1,29054
Aabenraa,Danish citizen,2024,2,2024Q2,28991
Aabenraa,Danish citizen,2024,3,2024Q3,28950
Aabenraa,Danish citizen,2024,4,2024Q4,28724
Aabenraa,Danish citizen,2025,1,2025Q1,28673
Aabenraa,Danish citizen,2025,2,2025Q2,28579
Aabenraa,Danish citizen,2025,3,2025Q3,28520
Aabenraa,Danish citizen,2025,4,2025Q4,28289
Aabenraa,Danish citizen,2026,1,2026Q1,28201
Aabenraa,Danish citizen,2026,2,2026Q2,28069
Aabenraa,Danish citizen,2026,3,2026Q3,27983
Aabenraa,Foreign citizen,2008,1,2008Q1,3094
Aabenraa,Foreign citizen,2008,2,2008Q2,3125
Aabenraa,Foreign citizen,2008,3,2008Q3,3142
Aabenraa,Foreign citizen,2008,4,2008Q4,3219
Aabenraa,Foreign citizen,2009,1,2009Q1,3246
Aabenraa,Foreign citizen,2009,2,2009Q2,3245
Aabenraa,Foreign citizen,2009,3,2009Q3,3211
Aabenraa,Foreign citizen,2009,4,2009Q4,3275
Aabenraa,Foreign citizen,2010,1,2010Q1,3240
Aabenraa,Foreign citizen,2010,2,2010Q2,3256
Aabenraa,Foreign citizen,2010,3,2010Q3,3263
Aabenraa,Foreign citizen,2010,4,2010Q4,3294
Aabenraa,Foreign citizen,2011,1,2011Q1,3306
Aabenraa,Foreign citizen,2011,2,2011Q2,3322
Aabenraa,Foreign citizen,2011,3,2011Q3,3332
Aabenraa,Foreign citizen,2011,4,2011Q4,3402
Aabenraa,Foreign citizen,2012,1,2012Q1,3396
Aabenraa,Foreign citizen,2012,2,2012Q2,3425
Aabenraa,Foreign citizen,2012,3,2012Q3,3405
Aabenraa,Foreign citizen,2012,4,2012Q4,3459
Aabenraa,Foreign citizen,2013,1,2013Q1,3431
Aabenraa,Foreign citizen,2013,2,2013Q2,3451
Aabenraa,Foreign citizen,2013,3,2013Q3,3489
Aabenraa,Foreign citizen,2013,4,2013Q4,3517
Aabenraa,Foreign citizen,2014,1,2014Q1,3566
Aabenraa,Foreign citizen,2014,2,2014Q2,3584
Aabenraa,Foreign citizen,2014,3,2014Q3,3624
Aabenraa,Foreign citizen,2014,4,2014Q4,3684
Aabenraa,Foreign citizen,2015,1,2015Q1,3696
Aabenraa,Foreign citizen,2015,2,2015Q2,3779
Aabenraa,Foreign citizen,2015,3,2015Q3,3828
Aabenraa,Foreign citizen,2015,4,2015Q4,3905
Aabenraa,Foreign citizen,2016,1,2016Q1,3922
Aabenraa,Foreign citizen,2016,2,2016Q2,3974
Aabenraa,Foreign citizen,2016,3,2016Q3,3987
Aabenraa,Foreign citizen,2016,4,2016Q4,4116
Aabenraa,Foreign citizen,2017,1,2017Q1,4126
Aabenraa,Foreign citizen,2017,2,2017Q2,4230
Aabenraa,Foreign citizen,2017,3,2017Q3,4204
Aabenraa,Foreign citizen,2017,4,2017Q4,4299
Aabenraa,Foreign citizen,2018,1,2018Q1,4323
Aabenraa,Foreign citizen,2018,2,2018Q2,4372
Aabenraa,Foreign citizen,2018,3,2018Q3,4368
Aabenraa,Foreign citizen,2018,4,2018Q4,4468
Aabenraa,Foreign citizen,2019,1,2019Q1,4506
Aabenraa,Foreign citizen,2019,2,2019Q2,4542
Aabenraa,Foreign citizen,2019,3,2019Q3,4525
Aabenraa,Foreign citizen,2019,4,2019Q4,4576
Aabenraa,Foreign citizen,2020,1,2020Q1,4620
Aabenraa,Foreign citizen,2020,2,2020Q2,4597
Aabenraa,Foreign citizen,2020,3,2020Q3,4570
Aabenraa,Foreign citizen,2020,4,2020Q4,4588
Aabenraa,Foreign citizen,2021,1,2021Q1,4632
Aabenraa,Foreign citizen,2021,2,2021Q2,4701
Aabenraa,Foreign citizen,2021,3,2021Q3,4698
Aabenraa,Foreign citizen,2021,4,2021Q4,4827
Aabenraa,Foreign citizen,2022,1,2022Q1,4952
Aabenraa,Foreign citizen,2022,2,2022Q2,5104
Aabenraa,Foreign citizen,2022,3,2022Q3,5362
Aabenraa,Foreign citizen,2022,4,2022Q4,5469
Aabenraa,Foreign citizen,2023,1,2023Q1,5554
Aabenraa,Foreign citizen,2023,2,2023Q2,5594
Aabenraa,Foreign citizen,2023,3,2023Q3,5580
Aabenraa,Foreign citizen,2023,4,2023Q4,5720
Aabenraa,Foreign citizen,2024,1,2024Q1,5774
Aabenraa,Foreign citizen,2024,2,2024Q2,5812
Aabenraa,Foreign citizen,2024,3,2024Q3,5824
Aabenraa,Foreign citizen,2024,4,2024Q4,5949
Aabenraa,Foreign citizen,2025,1,2025Q1,6051
Aabenraa,Foreign citizen,2025,2,2025Q2,6093
Aabenraa,Foreign citizen,2025,3,2025Q3,6089
Aabenraa,Foreign citizen,2025,4,2025Q4,6173
Aabenraa,Foreign citizen,2026,1,2026Q1,6289
Aabenraa,Foreign citizen,2026,2,2026Q2,6332
Aabenraa,Foreign citizen,2026,3,2026Q3,6302
Aalborg,Danish citizen,2008,1,2008Q1,125197
Aalborg,Danish citizen,2008,2,2008Q2,125012
Aalborg,Danish citizen,2008,3,2008Q3,124891
Aalborg,Danish citizen,2008,4,2008Q4,125412
Aalborg,Danish citizen,2009,1,2009Q1,125255
Aalborg,Danish citizen,2009,2,2009Q2,125142
Aalborg,Danish citizen,2009,3,2009Q3,125119
Aalborg,Danish citizen,2009,4,2009Q4,125571
Aalborg,Danish citizen,2010,1,2010Q1,125552
Aalborg,Danish citizen,2010,2,2010Q2,125491
Aalborg,Danish citizen,2010,3,2010Q3,125164
Aalborg,Danish citizen,2010,4,2010Q4,125683
Aalborg,Danish citizen,2011,1,2011Q1,125557
Aalborg,Danish citizen,2011,2,2011Q2,125435
Aalborg,Danish citizen,2011,3,2011Q3,125118
Aalborg,Danish citizen,2011,4,2011Q4,125863
Aalborg,Danish citizen,2012,1,2012Q1,125924
Aalborg,Danish citizen,2012,2,2012Q2,125766
Aalborg,Danish citizen,2012,3,2012Q3,125512
Aalborg,Danish citizen,2012,4,2012Q4,126646
Aalborg,Danish citizen,2013,1,2013Q1,126703
Aalborg,Danish citizen,2013,2,2013Q2,126574
Aalborg,Danish citizen,2013,3,2013Q3,126421
Aalborg,Danish citizen,2013,4,2013Q4,127698
Aalborg,Danish citizen,2014,1,2014Q1,127699
Aalborg,Danish citizen,2014,2,2014Q2,127646
Aalborg,Danish citizen,2014,3,2014Q3,127307
Aalborg,Danish citizen,2014,4,2014Q4,128401
Aalborg,Danish citizen,2015,1,2015Q1,128425
Aalborg,Danish citizen,2015,2,2015Q2,128087
Aalborg,Danish citizen,2015,3,2015Q3,127770
Aalborg,Danish citizen,2015,4,2015Q4,128882
Aalborg,Danish citizen,2016,1,2016Q1,128935
Aalborg,Danish citizen,2016,2,2016Q2,128846
Aalborg,Danish citizen,2016,3,2016Q3,128608
Aalborg,Danish citizen,2016,4,2016Q4,129654
Aalborg,Danish citizen,2017,1,2017Q1,129549
Aalborg,Danish citizen,2017,2,2017Q2,129384
Aalborg,Danish citizen,2017,3,2017Q3,129235
Aalborg,Danish citizen,2017,4,2017Q4,130058
Aalborg,Danish citizen,2018,1,2018Q1,130129
Aalborg,Danish citizen,2018,2,2018Q2,129845
Aalborg,Danish citizen,2018,3,2018Q3,129864
Aalborg,Danish citizen,2018,4,2018Q4,131031
Aalborg,Danish citizen,2019,1,2019Q1,131078
Aalborg,Danish citizen,2019,2,2019Q2,131096
Aalborg,Danish citizen,2019,3,2019Q3,131111
Aalborg,Danish citizen,2019,4,2019Q4,132233
Aalborg,Danish citizen,2020,1,2020Q1,132316
Aalborg,Danish citizen,2020,2,2020Q2,132166
Aalborg,Danish citizen,2020,3,2020Q3,132326
Aalborg,Danish citizen,2020,4,2020Q4,133828
Aalborg,Danish citizen,2021,1,2021Q1,133983
Aalborg,Danish citizen,2021,2,2021Q2,133936
Aalborg,Danish citizen,2021,3,2021Q3,133874
Aalborg,Danish citizen,2021,4,2021Q4,134912
Aalborg,Danish citizen,2022,1,2022Q1,134650
Aalborg,Danish citizen,2022,2,2022Q2,134508
Aalborg,Danish citizen,2022,3,2022Q3,134260
Aalborg,Danish citizen,2022,4,2022Q4,134881
Aalborg,Danish citizen,2023,1,2023Q1,134697
Aalborg,Danish citizen,2023,2,2023Q2,134502
Aalborg,Danish citizen,2023,3,2023Q3,134410
Aalborg,Danish citizen,2023,4,2023Q4,134937
Aalborg,Danish citizen,2024,1,2024Q1,134760
Aalborg,Danish citizen,2024,2,2024Q2,134707
Aalborg,Danish citizen,2024,3,2024Q3,134554
Aalborg,Danish citizen,2024,4,2024Q4,135392
Aalborg,Danish citizen,2025,1,2025Q1,135288
Aalborg,Danish citizen,2025,2,2025Q2,135053
Aalborg,Danish citizen,2025,3,2025Q3,134888
Aalborg,Danish citizen,2025,4,2025Q4,135655
Aalborg,Danish citizen,2026,1,2026Q1,135470
Aalborg,Danish citizen,2026,2,2026Q2,135420
Aalborg,Danish citizen,2026,3,2026Q3,135346
Aalborg,Foreign citizen,2008,1,2008Q1,7330
Aalborg,Foreign citizen,2008,2,2008Q2,7394
Aalborg,Foreign citizen,2008,3,2008Q3,7267
Aalborg,Foreign citizen,2008,4,2008Q4,7720
Aalborg,Foreign citizen,2009,1,2009Q1,7887
Aalborg,Foreign citizen,2009,2,2009Q2,7918
Aalborg,Foreign citizen,2009,3,2009Q3,7480
Aalborg,Foreign citizen,2009,4,2009Q4,7774
Aalborg,Foreign citizen,2010,1,2010Q1,8029
Aalborg,Foreign citizen,2010,2,2010Q2,8167
Aalborg,Foreign citizen,2010,3,2010Q3,8074
Aalborg,Foreign citizen,2010,4,2010Q4,8273
Aalborg,Foreign citizen,2011,1,2011Q1,8849
Aalborg,Foreign citizen,2011,2,2011Q2,8949
Aalborg,Foreign citizen,2011,3,2011Q3,8769
Aalborg,Foreign citizen,2011,4,2011Q4,9559
Aalborg,Foreign citizen,2012,1,2012Q1,9521
Aalborg,Foreign citizen,2012,2,2012Q2,9473
Aalborg,Foreign citizen,2012,3,2012Q3,9185
Aalborg,Foreign citizen,2012,4,2012Q4,10055
Aalborg,Foreign citizen,2013,1,2013Q1,10074
Aalborg,Foreign citizen,2013,2,2013Q2,10123
Aalborg,Foreign citizen,2013,3,2013Q3,9978
Aalborg,Foreign citizen,2013,4,2013Q4,10740
Aalborg,Foreign citizen,2014,1,2014Q1,10785
Aalborg,Foreign citizen,2014,2,2014Q2,10788
Aalborg,Foreign citizen,2014,3,2014Q3,10677
Aalborg,Foreign citizen,2014,4,2014Q4,11384
Aalborg,Foreign citizen,2015,1,2015Q1,11383
Aalborg,Foreign citizen,2015,2,2015Q2,11582
Aalborg,Foreign citizen,2015,3,2015Q3,11675
Aalborg,Foreign citizen,2015,4,2015Q4,12516
Aalborg,Foreign citizen,2016,1,2016Q1,12680
Aalborg,Foreign citizen,2016,2,2016Q2,12697
Aalborg,Foreign citizen,2016,3,2016Q3,12476
Aalborg,Foreign citizen,2016,4,2016Q4,12956
Aalborg,Foreign citizen,2017,1,2017Q1,12857
Aalborg,Foreign citizen,2017,2,2017Q2,12857
Aalborg,Foreign citizen,2017,3,2017Q3,12628
Aalborg,Foreign citizen,2017,4,2017Q4,13234
Aalborg,Foreign citizen,2018,1,2018Q1,13083
Aalborg,Foreign citizen,2018,2,2018Q2,12930
Aalborg,Foreign citizen,2018,3,2018Q3,12736
Aalborg,Foreign citizen,2018,4,2018Q4,13304
Aalborg,Foreign citizen,2019,1,2019Q1,13297
Aalborg,Foreign citizen,2019,2,2019Q2,13236
Aalborg,Foreign citizen,2019,3,2019Q3,13103
Aalborg,Foreign citizen,2019,4,2019Q4,13425
Aalborg,Foreign citizen,2020,1,2020Q1,13078
